model_name,Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
mobilenetv2,Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
mobilenetv2,Peach___Bacterial_spot,422,4,1,10434,0.9906103286384976,0.9976359338061466,0.994110718492344
mobilenetv2,Peach___healthy,72,0,0,10789,1.0,1.0,1.0
mobilenetv2,"Pepper,_bell___Bacterial_spot",174,1,2,10684,0.9942857142857144,0.9886363636363636,0.9914529914529916
mobilenetv2,"Pepper,_bell___healthy",290,1,2,10568,0.9965635738831616,0.9931506849315068,0.994854202401372
mobilenetv2,Potato___Early_blight,216,1,0,10644,0.9953917050691244,1.0,0.997690531177829
mobilenetv2,Potato___Late_blight,210,5,3,10643,0.9767441860465116,0.9859154929577464,0.9813084112149532
mobilenetv2,Potato___healthy,31,1,0,10829,0.96875,1.0,0.984126984126984
mobilenetv2,Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
mobilenetv2,Soybean___healthy,1036,3,1,9821,0.9971126082771896,0.9990356798457088,0.998073217726397
mobilenetv2,Squash___Powdery_mildew,379,2,1,10479,0.994750656167979,0.9973684210526316,0.9960578186596584
mobilenetv2,Strawberry___Leaf_scorch,209,0,1,10651,1.0,0.9952380952380953,0.9976133651551312
mobilenetv2,Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
mobilenetv2,Tomato___Bacterial_spot,428,5,0,10428,0.9884526558891455,1.0,0.994192799070848
mobilenetv2,Tomato___Early_blight,163,6,18,10674,0.9644970414201184,0.9005524861878453,0.9314285714285714
mobilenetv2,Tomato___Late_blight,397,11,8,10445,0.9730392156862744,0.980246913580247,0.9766297662976632
mobilenetv2,Tomato___Leaf_Mold,178,0,2,10681,1.0,0.9888888888888888,0.9944134078212292
mobilenetv2,Tomato___Septoria_leaf_spot,359,3,6,10493,0.9917127071823204,0.9835616438356164,0.9876203576341128
mobilenetv2,Tomato___Spider_mites Two-spotted_spider_mite,331,3,4,10523,0.9910179640718564,0.9880597014925372,0.9895366218236172
mobilenetv2,Tomato___Target_Spot,279,5,5,10572,0.9823943661971832,0.9823943661971832,0.9823943661971832
mobilenetv2,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1061,4,0,9796,0.996244131455399,1.0,0.9981185324553152
mobilenetv2,Tomato___Tomato_mosaic_virus,70,1,0,10790,0.9859154929577464,1.0,0.9929078014184396
mobilenetv2,Tomato___healthy,315,1,1,10544,0.9968354430379748,0.9968354430379748,0.9968354430379748
mobilenetv3small,Apple___Apple_scab,128,2,4,10727,0.9846153846153848,0.9696969696969696,0.9770992366412214
mobilenetv3small,Apple___Black_rot,127,4,0,10730,0.9694656488549618,1.0,0.9844961240310076
mobilenetv3small,Apple___Cedar_apple_rust,46,0,1,10814,1.0,0.9787234042553192,0.989247311827957
mobilenetv3small,Apple___healthy,329,2,5,10525,0.9939577039274924,0.9850299401197604,0.9894736842105264
mobilenetv3small,Blueberry___healthy,307,1,1,10552,0.9967532467532468,0.9967532467532468,0.9967532467532468
mobilenetv3small,Cherry_(including_sour)___Powdery_mildew,206,2,0,10653,0.9903846153846154,1.0,0.9951690821256038
mobilenetv3small,Cherry_(including_sour)___healthy,174,2,2,10683,0.9886363636363636,0.9886363636363636,0.9886363636363636
mobilenetv3small,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,98,6,12,10745,0.9423076923076924,0.8909090909090909,0.9158878504672896
mobilenetv3small,Corn_(maize)___Common_rust_,234,1,0,10626,0.9957446808510638,1.0,0.9978678038379531
mobilenetv3small,Corn_(maize)___Northern_Leaf_Blight,177,11,6,10667,0.9414893617021276,0.9672131147540984,0.954177897574124
mobilenetv3small,Corn_(maize)___healthy,237,3,0,10621,0.9875,1.0,0.9937106918238994
mobilenetv3small,Grape___Black_rot,239,3,2,10617,0.987603305785124,0.991701244813278,0.989648033126294
mobilenetv3small,Grape___Esca_(Black_Measles),306,3,2,10550,0.9902912621359224,0.9935064935064936,0.9918962722852512
mobilenetv3small,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),230,0,1,10630,1.0,0.9956709956709956,0.9978308026030368
mobilenetv3small,Grape___healthy,83,1,0,10777,0.988095238095238,1.0,0.9940119760479044
mobilenetv3small,Orange___Haunglongbing_(Citrus_greening),1057,0,1,9803,1.0,0.999054820415879,0.9995271867612292
mobilenetv3small,Peach___Bacterial_spot,422,0,1,10438,1.0,0.9976359338061466,0.9988165680473372
mobilenetv3small,Peach___healthy,72,0,0,10789,1.0,1.0,1.0
mobilenetv3small,"Pepper,_bell___Bacterial_spot",175,1,1,10684,0.9943181818181818,0.9943181818181818,0.9943181818181818
mobilenetv3small,"Pepper,_bell___healthy",289,1,3,10568,0.996551724137931,0.9897260273972602,0.9931271477663228
mobilenetv3small,Potato___Early_blight,216,0,0,10645,1.0,1.0,1.0
mobilenetv3small,Potato___Late_blight,211,3,2,10645,0.985981308411215,0.9906103286384976,0.9882903981264636
mobilenetv3small,Potato___healthy,31,0,0,10830,1.0,1.0,1.0
mobilenetv3small,Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
mobilenetv3small,Soybean___healthy,1036,5,1,9819,0.9951969260326607,0.9990356798457088,0.9971126082771896
mobilenetv3small,Squash___Powdery_mildew,380,1,0,10480,0.9973753280839897,1.0,0.9986859395532194
mobilenetv3small,Strawberry___Leaf_scorch,209,1,1,10650,0.9952380952380953,0.9952380952380953,0.9952380952380953
mobilenetv3small,Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
mobilenetv3small,Tomato___Bacterial_spot,427,0,1,10433,1.0,0.9976635514018692,0.9988304093567252
mobilenetv3small,Tomato___Early_blight,175,1,6,10679,0.9943181818181818,0.9668508287292816,0.9803921568627452
mobilenetv3small,Tomato___Late_blight,400,3,5,10453,0.9925558312655088,0.9876543209876544,0.99009900990099
